lineno;moment;mapnumber;round;map_name;match_id;hs;penetrated;throughsmoke;type;author_name;author_id;author_side;time;victim_id;victim_name;victim_side;weapon;damage;damage_armor;victim_health;victim_armor;hitgroup;author_coord;victim_coord;blinded_time;flashbang_id
2;map_vetoing;0;0;;bo3;0;0;0;left buyzone;VininÃ£o 60Hz;STEAM_1:1:149616265;TERRORIST;12/21/2021 - 19:34:13;;;;;;;;;;;;;
3;map_vetoing;0;0;;bo3;0;0;0;left buyzone;mauroban;STEAM_1:0:62033627;TERRORIST;12/21/2021 - 19:34:13;;;;;;;;;;;;;
4;map_vetoing;0;0;;bo3;0;0;0;left buyzone;Leoncio;STEAM_1:0:223654549;CT;12/21/2021 - 19:34:14;;;;;;;;;;;;;
5;map_vetoing;0;0;;bo3;0;0;0;attacked;Å‚uuÐºz1;STEAM_1:0:222365165;CT;12/21/2021 - 19:34:15;STEAM_1:1:149616265;VininÃ£o 60Hz;TERRORIST;m4a1;129.0;0.0;0.0;100.0;head;('4137', '-12057', '3152');('3920', '-11216', '3136');;
6;map_vetoing;0;0;;bo3;1;0;0;killed;Å‚uuÐºz1;STEAM_1:0:222365165;CT;12/21/2021 - 19:34:15;STEAM_1:1:149616265;VininÃ£o 60Hz;TERRORIST;m4a1_silencer;;;;;;('4137', '-12057', '3152');('3920', '-11216', '3200');;
7;map_vetoing;0;0;;bo3;0;0;0;left buyzone;pLn;STEAM_1:0:79381514;CT;12/21/2021 - 19:34:15;;;;;;;;;;;;;
8;map_vetoing;0;0;;bo3;0;0;0;attacked;GABIGORDO;STEAM_1:1:546304018;CT;12/21/2021 - 19:34:16;STEAM_1:1:511493195;Agostinho CachaÃ§a;TERRORIST;famas;20.0;4.0;80.0;95.0;chest;('1379', '-11959', '3136');('1369', '-11625', '3154');;
9;map_vetoing;0;0;;bo3;0;0;0;attacked;Agostinho CachaÃ§a;STEAM_1:1:511493195;TERRORIST;12/21/2021 - 19:34:16;STEAM_1:1:546304018;GABIGORDO;CT;famas;20.0;4.0;80.0;95.0;chest;('1368', '-11625', '3154');('1379', '-11959', '3136');;
10;map_vetoing;0;0;;bo3;0;0;0;attacked;GABIGORDO;STEAM_1:1:546304018;CT;12/21/2021 - 19:34:16;STEAM_1:1:511493195;Agostinho CachaÃ§a;TERRORIST;famas;20.0;4.0;60.0;90.0;chest;('1379', '-11959', '3136');('1368', '-11625', '3154');;
12;map_vetoing;0;0;;bo3;0;0;0;attacked;GABIGORDO;STEAM_1:1:546304018;CT;12/21/2021 - 19:34:16;STEAM_1:1:511493195;Agostinho CachaÃ§a;TERRORIST;famas;20.0;4.0;40.0;85.0;chest;('1379', '-11959', '3136');('1368', '-11625', '3154');;
13;map_vetoing;0;0;;bo3;0;0;0;attacked;GABIGORDO;STEAM_1:1:546304018;CT;12/21/2021 - 19:34:16;STEAM_1:1:511493195;Agostinho CachaÃ§a;TERRORIST;famas;20.0;4.0;20.0;80.0;chest;('1379', '-11959', '3136');('1368', '-11625', '3154');;
14;map_vetoing;0;0;;bo3;0;0;0;attacked;GABIGORDO;STEAM_1:1:546304018;CT;12/21/2021 - 19:34:17;STEAM_1:1:511493195;Agostinho CachaÃ§a;TERRORIST;famas;25.0;5.0;0.0;74.0;stomach;('1379', '-11959', '3136');('1368', '-11625', '3154');;
15;map_vetoing;0;0;;bo3;0;0;0;killed;GABIGORDO;STEAM_1:1:546304018;CT;12/21/2021 - 19:34:17;STEAM_1:1:511493195;Agostinho CachaÃ§a;TERRORIST;;;;;;;('1379', '-11959', '3136');('1368', '-11625', '3218');;
16;map_vetoing;0;0;;bo3;0;0;0;attacked;HRZ;STEAM_1:0:421866189;CT;12/21/2021 - 19:34:17;STEAM_1:0:62033627;mauroban;TERRORIST;m4a1;26.0;5.0;74.0;94.0;chest;('6118', '-11775', '3154');('6238', '-11546', '3154');;
17;map_vetoing;0;0;;bo3;0;0;0;attacked;HRZ;STEAM_1:0:421866189;CT;12/21/2021 - 19:34:17;STEAM_1:0:62033627;mauroban;TERRORIST;m4a1;26.0;5.0;48.0;88.0;chest;('6118', '-11775', '3154');('6238', '-11549', '3154');;
18;map_vetoing;0;0;;bo3;0;0;0;attacked;profeta;STEAM_1:1:61864068;TERRORIST;12/21/2021 - 19:34:17;STEAM_1:0:223654549;Leoncio;CT;m4a1;126.0;0.0;0.0;100.0;head;('8458', '-11437', '3136');('8624', '-12144', '3136');;
19;map_vetoing;0;0;;bo3;1;0;0;killed;profeta;STEAM_1:1:61864068;TERRORIST;12/21/2021 - 19:34:17;STEAM_1:0:223654549;Leoncio;CT;m4a1;;;;;;('8458', '-11437', '3136');('8624', '-12144', '3200');;
20;map_vetoing;0;0;;bo3;0;0;0;attacked;mauroban;STEAM_1:0:62033627;TERRORIST;12/21/2021 - 19:34:17;STEAM_1:0:421866189;HRZ;CT;m4a1;26.0;5.0;74.0;94.0;chest;('6234', '-11559', '3154');('6118', '-11775', '3154');;
21;map_vetoing;0;0;;bo3;0;0;0;attacked;HRZ;STEAM_1:0:421866189;CT;12/21/2021 - 19:34:17;STEAM_1:0:62033627;mauroban;TERRORIST;m4a1;131.0;0.0;0.0;88.0;head;('6118', '-11775', '3154');('6236', '-11560', '3154');;
22;map_vetoing;0;0;;bo3;1;0;0;killed;HRZ;STEAM_1:0:421866189;CT;12/21/2021 - 19:34:17;STEAM_1:0:62033627;mauroban;TERRORIST;m4a1_silencer;;;;;;('6118', '-11775', '3154');('6236', '-11560', '3218');;
23;map_vetoing;0;0;;bo3;0;0;0;left buyzone;VininÃ£o 60Hz;STEAM_1:1:149616265;TERRORIST;12/21/2021 - 19:34:17;;;;;;;;;;;;;
25;map_vetoing;0;0;;bo3;0;0;0;left buyzone;Agostinho CachaÃ§a;STEAM_1:1:511493195;TERRORIST;12/21/2021 - 19:34:19;;;;;;;;;;;;;
27;map_vetoing;0;0;;bo3;0;0;0;left buyzone;mauroban;STEAM_1:0:62033627;TERRORIST;12/21/2021 - 19:34:19;;;;;;;;;;;;;
28;map_vetoing;0;0;;bo3;0;0;0;left buyzone;Leoncio;STEAM_1:0:223654549;CT;12/21/2021 - 19:34:20;;;;;;;;;;;;;
30;map_vetoing;0;0;;bo3;0;0;0;attacked;GABIGORDO;STEAM_1:1:546304018;CT;12/21/2021 - 19:34:20;STEAM_1:1:149616265;VininÃ£o 60Hz;TERRORIST;m4a1;26.0;5.0;74.0;94.0;chest;('1367', '-11845', '3154');('1520', '-11216', '3136');;
31;map_vetoing;0;0;;bo3;0;0;0;attacked;GABIGORDO;STEAM_1:1:546304018;CT;12/21/2021 - 19:34:20;STEAM_1:1:149616265;VininÃ£o 60Hz;TERRORIST;m4a1;26.0;5.0;48.0;88.0;chest;('1368', '-11842', '3154');('1520', '-11216', '3136');;
32;map_vetoing;0;0;;bo3;0;0;0;attacked;GABIGORDO;STEAM_1:1:546304018;CT;12/21/2021 - 19:34:20;STEAM_1:1:149616265;VininÃ£o 60Hz;TERRORIST;m4a1;130.0;0.0;0.0;88.0;head;('1368', '-11841', '3154');('1520', '-11216', '3136');;
33;map_vetoing;0;0;;bo3;1;0;0;killed;GABIGORDO;STEAM_1:1:546304018;CT;12/21/2021 - 19:34:20;STEAM_1:1:149616265;VininÃ£o 60Hz;TERRORIST;m4a1_silencer;;;;;;('1368', '-11841', '3154');('1520', '-11216', '3200');;
35;map_vetoing;0;0;;bo3;0;0;0;attacked;HRZ;STEAM_1:0:421866189;CT;12/21/2021 - 19:34:22;STEAM_1:0:62033627;mauroban;TERRORIST;famas;25.0;5.0;75.0;94.0;stomach;('6217', '-11837', '3154');('6091', '-11403', '3136');;
36;map_vetoing;0;0;;bo3;0;0;0;attacked;mauroban;STEAM_1:0:62033627;TERRORIST;12/21/2021 - 19:34:22;STEAM_1:0:421866189;HRZ;CT;famas;115.0;0.0;0.0;100.0;head;('6091', '-11403', '3136');('6217', '-11837', '3154');;
37;map_vetoing;0;0;;bo3;1;0;0;killed;mauroban;STEAM_1:0:62033627;TERRORIST;12/21/2021 - 19:34:22;STEAM_1:0:421866189;HRZ;CT;famas;;;;;;('6091', '-11403', '3136');('6217', '-11837', '3218');;
39;map_vetoing;0;0;;bo3;0;0;0;attacked;profeta;STEAM_1:1:61864068;TERRORIST;12/21/2021 - 19:34:22;STEAM_1:0:223654549;Leoncio;CT;galilar;117.0;0.0;0.0;100.0;head;('8483', '-11538', '3154');('8624', '-12144', '3136');;
40;map_vetoing;0;0;;bo3;1;0;0;killed;profeta;STEAM_1:1:61864068;TERRORIST;12/21/2021 - 19:34:22;STEAM_1:0:223654549;Leoncio;CT;galilar;;;;;;('8483', '-11538', '3154');('8624', '-12144', '3200');;
41;map_vetoing;0;0;;bo3;0;0;0;left buyzone;VininÃ£o 60Hz;STEAM_1:1:149616265;TERRORIST;12/21/2021 - 19:34:23;;;;;;;;;;;;;
42;map_vetoing;0;0;;bo3;0;0;0;attacked;Luis1m Turbo;STEAM_1:0:178787255;TERRORIST;12/21/2021 - 19:34:23;STEAM_1:0:79381514;pLn;CT;glock;106.0;0.0;0.0;100.0;head;('11014', '-11777', '3154');('11088', '-12144', '3136');;
43;map_vetoing;0;0;;bo3;1;0;0;killed;Luis1m Turbo;STEAM_1:0:178787255;TERRORIST;12/21/2021 - 19:34:23;STEAM_1:0:79381514;pLn;CT;glock;;;;;;('11014', '-11777', '3154');('11088', '-12144', '3200');;
44;map_vetoing;0;0;;bo3;0;0;0;left buyzone;HRZ;STEAM_1:0:421866189;CT;12/21/2021 - 19:34:24;;;;;;;;;;;;;
45;map_vetoing;0;0;;bo3;0;0;0;left buyzone;Leoncio;STEAM_1:0:223654549;CT;12/21/2021 - 19:34:24;;;;;;;;;;;;;
46;map_vetoing;0;0;;bo3;0;0;0;attacked;GABIGORDO;STEAM_1:1:546304018;CT;12/21/2021 - 19:34:25;STEAM_1:1:149616265;VininÃ£o 60Hz;TERRORIST;ak47;140.0;0.0;0.0;100.0;head;('1405', '-11767', '3154');('1520', '-11216', '3136');;
47;map_vetoing;0;0;;bo3;1;0;0;killed;GABIGORDO;STEAM_1:1:546304018;CT;12/21/2021 - 19:34:25;STEAM_1:1:149616265;VininÃ£o 60Hz;TERRORIST;ak47;;;;;;('1405', '-11767', '3154');('1520', '-11216', '3200');;
48;map_vetoing;0;0;;bo3;0;0;0;left buyzone;pLn;STEAM_1:0:79381514;CT;12/21/2021 - 19:34:26;;;;;;;;;;;;;
49;map_vetoing;0;0;;bo3;0;0;0;attacked;Agostinho CachaÃ§a;STEAM_1:1:511493195;TERRORIST;12/21/2021 - 19:34:26;STEAM_1:0:222365165;Å‚uuÐºz1;CT;awp;111.0;1.0;0.0;98.0;chest;('3942', '-11704', '3252');('4025', '-11687', '3169');;
50;map_vetoing;0;0;;bo3;0;0;0;killed;Agostinho CachaÃ§a;STEAM_1:1:511493195;TERRORIST;12/21/2021 - 19:34:26;STEAM_1:0:222365165;Å‚uuÐºz1;CT;awp;;;;;;('3942', '-11704', '3252');('4025', '-11687', '3233');;
51;map_vetoing;0;0;;bo3;0;0;0;attacked;mauroban;STEAM_1:0:62033627;TERRORIST;12/21/2021 - 19:34:26;STEAM_1:0:421866189;HRZ;CT;awp;138.0;1.0;0.0;98.0;stomach;('6129', '-11401', '3136');('6215', '-12144', '3136');;
52;map_vetoing;0;0;;bo3;0;0;0;killed;mauroban;STEAM_1:0:62033627;TERRORIST;12/21/2021 - 19:34:26;STEAM_1:0:421866189;HRZ;CT;;;;;;;('6129', '-11401', '3136');('6215', '-12144', '3200');;
53;map_vetoing;0;0;;bo3;0;0;0;attacked;profeta;STEAM_1:1:61864068;TERRORIST;12/21/2021 - 19:34:27;STEAM_1:0:223654549;Leoncio;CT;famas;114.0;0.0;0.0;100.0;head;('8505', '-11543', '3154');('8624', '-12144', '3136');;
54;map_vetoing;0;0;;bo3;1;0;0;killed;profeta;STEAM_1:1:61864068;TERRORIST;12/21/2021 - 19:34:27;STEAM_1:0:223654549;Leoncio;CT;famas;;;;;;('8505', '-11543', '3154');('8624', '-12144', '3200');;
55;map_vetoing;0;0;;bo3;0;0;0;left buyzone;VininÃ£o 60Hz;STEAM_1:1:149616265;TERRORIST;12/21/2021 - 19:34:28;;;;;;;;;;;;;
56;map_vetoing;0;0;;bo3;0;0;0;left buyzone;Å‚uuÐºz1;STEAM_1:0:222365165;CT;12/21/2021 - 19:34:28;;;;;;;;;;;;;
57;map_vetoing;0;0;;bo3;0;0;0;left buyzone;HRZ;STEAM_1:0:421866189;CT;12/21/2021 - 19:34:28;;;;;;;;;;;;;
58;map_vetoing;0;0;;bo3;0;0;0;left buyzone;Leoncio;STEAM_1:0:223654549;CT;12/21/2021 - 19:34:29;;;;;;;;;;;;;
59;map_vetoing;0;0;;bo3;0;0;0;attacked;Å‚uuÐºz1;STEAM_1:0:222365165;CT;12/21/2021 - 19:34:30;STEAM_1:1:511493195;Agostinho CachaÃ§a;TERRORIST;ak47;27.0;3.0;73.0;96.0;chest;('3736', '-11951', '3136');('3894', '-11498', '3192');;
60;map_vetoing;0;0;;bo3;0;0;0;attacked;Å‚uuÐºz1;STEAM_1:0:222365165;CT;12/21/2021 - 19:34:30;STEAM_1:1:511493195;Agostinho CachaÃ§a;TERRORIST;ak47;27.0;3.0;46.0;92.0;chest;('3733', '-11951', '3136');('3890', '-11523', '3185');;
61;map_vetoing;0;0;;bo3;0;0;0;attacked;Å‚uuÐºz1;STEAM_1:0:222365165;CT;12/21/2021 - 19:34:30;STEAM_1:1:511493195;Agostinho CachaÃ§a;TERRORIST;ak47;18.0;2.0;28.0;89.0;stomach;('3733', '-11951', '3136');('3877', '-11568', '3154');;
62;map_vetoing;0;0;;bo3;0;0;0;attacked;Å‚uuÐºz1;STEAM_1:0:222365165;CT;12/21/2021 - 19:34:30;STEAM_1:1:511493195;Agostinho CachaÃ§a;TERRORIST;ak47;19.0;0.0;9.0;89.0;right leg;('3733', '-11951', '3136');('3881', '-11567', '3154');;
63;map_vetoing;0;0;;bo3;0;0;0;attacked;GABIGORDO;STEAM_1:1:546304018;CT;12/21/2021 - 19:34:30;STEAM_1:1:149616265;VininÃ£o 60Hz;TERRORIST;m4a1;130.0;0.0;0.0;100.0;head;('1389', '-11813', '3154');('1520', '-11216', '3136');;
64;map_vetoing;0;0;;bo3;1;0;0;killed;GABIGORDO;STEAM_1:1:546304018;CT;12/21/2021 - 19:34:30;STEAM_1:1:149616265;VininÃ£o 60Hz;TERRORIST;m4a1_silencer;;;;;;('1389', '-11813', '3154');('1520', '-11216', '3200');;
67;map_vetoing;0;0;;bo3;0;0;0;attacked;Agostinho CachaÃ§a;STEAM_1:1:511493195;TERRORIST;12/21/2021 - 19:34:31;STEAM_1:0:222365165;Å‚uuÐºz1;CT;ak47;27.0;3.0;73.0;96.0;chest;('3905', '-11545', '3154');('3733', '-11951', '3136');;
68;map_vetoing;0;0;;bo3;0;0;0;attacked;Agostinho CachaÃ§a;STEAM_1:1:511493195;TERRORIST;12/21/2021 - 19:34:31;STEAM_1:0:222365165;Å‚uuÐºz1;CT;ak47;27.0;3.0;46.0;92.0;right arm;('3898', '-11542', '3154');('3733', '-11951', '3136');;
69;map_vetoing;0;0;;bo3;0;0;0;attacked;mauroban;STEAM_1:0:62033627;TERRORIST;12/21/2021 - 19:34:31;STEAM_1:0:421866189;HRZ;CT;ak47;140.0;0.0;0.0;100.0;head;('6356', '-11564', '3169');('6256', '-12144', '3136');;
70;map_vetoing;0;0;;bo3;1;0;0;killed;mauroban;STEAM_1:0:62033627;TERRORIST;12/21/2021 - 19:34:31;STEAM_1:0:421866189;HRZ;CT;ak47;;;;;;('6356', '-11564', '3169');('6256', '-12144', '3200');;
71;map_vetoing;0;0;;bo3;0;0;0;attacked;Å‚uuÐºz1;STEAM_1:0:222365165;CT;12/21/2021 - 19:34:31;STEAM_1:1:511493195;Agostinho CachaÃ§a;TERRORIST;ak47;12.0;1.0;0.0;87.0;stomach;('3733', '-11951', '3136');('3893', '-11539', '3154');;
72;map_vetoing;0;0;;bo3;0;1;0;killed;Å‚uuÐºz1;STEAM_1:0:222365165;CT;12/21/2021 - 19:34:31;STEAM_1:1:511493195;Agostinho CachaÃ§a;TERRORIST;ak47;;;;;;('3733', '-11951', '3136');('3893', '-11539', '3218');;
73;map_vetoing;0;0;;bo3;0;0;0;attacked;profeta;STEAM_1:1:61864068;TERRORIST;12/21/2021 - 19:34:32;STEAM_1:0:223654549;Leoncio;CT;famas;114.0;0.0;0.0;100.0;head;('8499', '-11540', '3154');('8624', '-12144', '3136');;
74;map_vetoing;0;0;;bo3;1;0;0;killed;profeta;STEAM_1:1:61864068;TERRORIST;12/21/2021 - 19:34:32;STEAM_1:0:223654549;Leoncio;CT;famas;;;;;;('8499', '-11540', '3154');('8624', '-12144', '3200');;
75;map_vetoing;0;0;;bo3;0;0;0;left buyzone;VininÃ£o 60Hz;STEAM_1:1:149616265;TERRORIST;12/21/2021 - 19:34:33;;;;;;;;;;;;;
76;map_vetoing;0;0;;bo3;0;0;0;left buyzone;HRZ;STEAM_1:0:421866189;CT;12/21/2021 - 19:34:33;;;;;;;;;;;;;
77;map_vetoing;0;0;;bo3;0;0;0;left buyzone;Agostinho CachaÃ§a;STEAM_1:1:511493195;TERRORIST;12/21/2021 - 19:34:33;;;;;;;;;;;;;
78;map_vetoing;0;0;;bo3;0;0;0;left buyzone;Leoncio;STEAM_1:0:223654549;CT;12/21/2021 - 19:34:34;;;;;;;;;;;;;
79;map_vetoing;0;0;;bo3;0;0;0;attacked;Agostinho CachaÃ§a;STEAM_1:1:511493195;TERRORIST;12/21/2021 - 19:34:35;STEAM_1:0:222365165;Å‚uuÐºz1;CT;ak47;27.0;3.0;73.0;96.0;chest;('3800', '-11426', '3136');('3819', '-11952', '3136');;
80;map_vetoing;0;0;;bo3;0;0;0;attacked;Å‚uuÐºz1;STEAM_1:0:222365165;CT;12/21/2021 - 19:34:35;STEAM_1:1:511493195;Agostinho CachaÃ§a;TERRORIST;ak47;141.0;0.0;0.0;100.0;head;('3813', '-11947', '3136');('3799', '-11426', '3136');;
81;map_vetoing;0;0;;bo3;1;0;0;killed;Å‚uuÐºz1;STEAM_1:0:222365165;CT;12/21/2021 - 19:34:35;STEAM_1:1:511493195;Agostinho CachaÃ§a;TERRORIST;ak47;;;;;;('3813', '-11947', '3136');('3799', '-11426', '3200');;
82;map_vetoing;0;0;;bo3;0;0;0;attacked;GABIGORDO;STEAM_1:1:546304018;CT;12/21/2021 - 19:34:36;STEAM_1:1:149616265;VininÃ£o 60Hz;TERRORIST;awp;453.0;0.0;0.0;100.0;head;('1352', '-11922', '3136');('1520', '-11216', '3136');;
83;map_vetoing;0;0;;bo3;1;0;0;killed;GABIGORDO;STEAM_1:1:546304018;CT;12/21/2021 - 19:34:36;STEAM_1:1:149616265;VininÃ£o 60Hz;TERRORIST;awp;;;;;;('1352', '-11922', '3136');('1520', '-11216', '3200');;
84;map_vetoing;0;0;;bo3;0;0;0;left buyzone;Agostinho CachaÃ§a;STEAM_1:1:511493195;TERRORIST;12/21/2021 - 19:34:37;;;;;;;;;;;;;
85;map_vetoing;0;0;;bo3;0;0;0;attacked;profeta;STEAM_1:1:61864068;TERRORIST;12/21/2021 - 19:34:38;STEAM_1:0:223654549;Leoncio;CT;galilar;117.0;0.0;0.0;100.0;head;('8745', '-11539', '3169');('8624', '-12144', '3136');;
86;map_vetoing;0;0;;bo3;1;0;0;killed;profeta;STEAM_1:1:61864068;TERRORIST;12/21/2021 - 19:34:38;STEAM_1:0:223654549;Leoncio;CT;galilar;;;;;;('8745', '-11539', '3169');('8624', '-12144', '3200');;
87;map_vetoing;0;0;;bo3;0;0;0;left buyzone;VininÃ£o 60Hz;STEAM_1:1:149616265;TERRORIST;12/21/2021 - 19:34:38;;;;;;;;;;;;;
88;map_vetoing;0;0;;bo3;0;0;0;left buyzone;Leoncio;STEAM_1:0:223654549;CT;12/21/2021 - 19:34:40;;;;;;;;;;;;;
89;map_vetoing;0;0;;bo3;0;0;0;attacked;Å‚uuÐºz1;STEAM_1:0:222365165;CT;12/21/2021 - 19:34:41;STEAM_1:1:149616265;VininÃ£o 60Hz;TERRORIST;famas;111.0;0.0;0.0;100.0;head;('4132', '-12104', '3153');('3920', '-11216', '3136');;
90;map_vetoing;0;0;;bo3;1;0;0;killed;Å‚uuÐºz1;STEAM_1:0:222365165;CT;12/21/2021 - 19:34:41;STEAM_1:1:149616265;VininÃ£o 60Hz;TERRORIST;famas;;;;;;('4132', '-12104', '3153');('3920', '-11216', '3200');;
91;map_vetoing;0;0;;bo3;0;0;0;attacked;GABIGORDO;STEAM_1:1:546304018;CT;12/21/2021 - 19:34:41;STEAM_1:1:511493195;Agostinho CachaÃ§a;TERRORIST;m4a1;130.0;0.0;0.0;100.0;head;('1618', '-11838', '3169');('1635', '-11696', '3169');;
92;map_vetoing;0;0;;bo3;1;0;0;killed;GABIGORDO;STEAM_1:1:546304018;CT;12/21/2021 - 19:34:41;STEAM_1:1:511493195;Agostinho CachaÃ§a;TERRORIST;m4a1;;;;;;('1618', '-11838', '3169');('1635', '-11696', '3233');;
93;map_vetoing;0;0;;bo3;0;0;0;attacked;HRZ;STEAM_1:0:421866189;CT;12/21/2021 - 19:34:42;STEAM_1:0:62033627;mauroban;TERRORIST;m4a1;26.0;5.0;74.0;94.0;chest;('6099', '-11810', '3154');('6256', '-11216', '3136');;
94;map_vetoing;0;0;;bo3;0;0;0;attacked;HRZ;STEAM_1:0:421866189;CT;12/21/2021 - 19:34:42;STEAM_1:0:62033627;mauroban;TERRORIST;m4a1;130.0;0.0;0.0;94.0;head;('6094', '-11809', '3154');('6256', '-11216', '3136');;
95;map_vetoing;0;0;;bo3;1;0;0;killed;HRZ;STEAM_1:0:421866189;CT;12/21/2021 - 19:34:42;STEAM_1:0:62033627;mauroban;TERRORIST;m4a1_silencer;;;;;;('6094', '-11809', '3154');('6256', '-11216', '3200');;
98;map_vetoing;0;0;;bo3;0;0;0;left buyzone;VininÃ£o 60Hz;STEAM_1:1:149616265;TERRORIST;12/21/2021 - 19:34:43;;;;;;;;;;;;;
99;map_vetoing;0;0;;bo3;0;0;0;left buyzone;Agostinho CachaÃ§a;STEAM_1:1:511493195;TERRORIST;12/21/2021 - 19:34:43;;;;;;;;;;;;;
100;map_vetoing;0;0;;bo3;0;0;0;attacked;profeta;STEAM_1:1:61864068;TERRORIST;12/21/2021 - 19:34:43;STEAM_1:0:223654549;Leoncio;CT;glock;11.0;6.0;89.0;93.0;chest;('8514', '-11545', '3154');('8624', '-12144', '3136');;
101;map_vetoing;0;0;;bo3;0;0;0;left buyzone;mauroban;STEAM_1:0:62033627;TERRORIST;12/21/2021 - 19:34:44;;;;;;;;;;;;;
102;map_vetoing;0;0;;bo3;0;0;0;attacked;profeta;STEAM_1:1:61864068;TERRORIST;12/21/2021 - 19:34:44;STEAM_1:0:223654549;Leoncio;CT;glock;98.0;0.0;0.0;93.0;head;('8514', '-11545', '3154');('8624', '-12144', '3136');;
103;map_vetoing;0;0;;bo3;1;0;0;killed;profeta;STEAM_1:1:61864068;TERRORIST;12/21/2021 - 19:34:44;STEAM_1:0:223654549;Leoncio;CT;glock;;;;;;('8514', '-11545', '3154');('8624', '-12144', '3200');;
104;map_vetoing;0;0;;bo3;0;0;0;attacked;mauroban;STEAM_1:0:62033627;TERRORIST;12/21/2021 - 19:34:46;STEAM_1:0:421866189;HRZ;CT;deagle;167.0;0.0;0.0;100.0;head;('6117', '-11503', '3154');('6256', '-12144', '3136');;
105;map_vetoing;0;0;;bo3;1;0;0;killed;mauroban;STEAM_1:0:62033627;TERRORIST;12/21/2021 - 19:34:46;STEAM_1:0:421866189;HRZ;CT;deagle;;;;;;('6117', '-11503', '3154');('6256', '-12144', '3200');;
106;map_vetoing;0;0;;bo3;0;0;0;attacked;GABIGORDO;STEAM_1:1:546304018;CT;12/21/2021 - 19:34:46;STEAM_1:1:149616265;VininÃ£o 60Hz;TERRORIST;m4a1;127.0;0.0;0.0;100.0;head;('1357', '-11815', '3154');('1520', '-11216', '3136');;
107;map_vetoing;0;0;;bo3;1;0;0;killed;GABIGORDO;STEAM_1:1:546304018;CT;12/21/2021 - 19:34:46;STEAM_1:1:149616265;VininÃ£o 60Hz;TERRORIST;m4a1;;;;;;('1357', '-11815', '3154');('1520', '-11216', '3200');;
108;map_vetoing;0;0;;bo3;0;0;0;left buyzone;Leoncio;STEAM_1:0:223654549;CT;12/21/2021 - 19:34:46;;;;;;;;;;;;;
109;map_vetoing;0;0;;bo3;0;0;0;attacked;Å‚uuÐºz1;STEAM_1:0:222365165;CT;12/21/2021 - 19:34:47;STEAM_1:1:511493195;Agostinho CachaÃ§a;TERRORIST;glock;12.0;7.0;88.0;92.0;neck;('3711', '-11617', '3154');('3916', '-11851', '3154');;
110;map_vetoing;0;0;;bo3;0;0;0;attacked;Å‚uuÐºz1;STEAM_1:0:222365165;CT;12/21/2021 - 19:34:48;STEAM_1:1:511493195;Agostinho CachaÃ§a;TERRORIST;glock;108.0;0.0;0.0;92.0;head;('3730', '-11613', '3154');('3949', '-11830', '3154');;
111;map_vetoing;0;0;;bo3;1;0;0;killed;Å‚uuÐºz1;STEAM_1:0:222365165;CT;12/21/2021 - 19:34:48;STEAM_1:1:511493195;Agostinho CachaÃ§a;TERRORIST;glock;;;;;;('3730', '-11613', '3154');('3949', '-11830', '3218');;
112;map_vetoing;0;0;;bo3;0;0;0;left buyzone;HRZ;STEAM_1:0:421866189;CT;12/21/2021 - 19:34:48;;;;;;;;;;;;;
113;map_vetoing;0;0;;bo3;0;0;0;left buyzone;VininÃ£o 60Hz;STEAM_1:1:149616265;TERRORIST;12/21/2021 - 19:34:48;;;;;;;;;;;;;
114;map_vetoing;0;0;;bo3;0;0;0;attacked;mauroban;STEAM_1:0:62033627;TERRORIST;12/21/2021 - 19:34:49;STEAM_1:0:223654549;Leoncio;CT;m4a1;130.0;0.0;0.0;100.0;head;('6149', '-11600', '3154');('6191', '-12012', '3136');;
115;map_vetoing;0;0;;bo3;1;0;0;killed;mauroban;STEAM_1:0:62033627;TERRORIST;12/21/2021 - 19:34:49;STEAM_1:0:223654549;Leoncio;CT;m4a1_silencer;;;;;;('6149', '-11600', '3154');('6191', '-12012', '3200');;
116;map_vetoing;0;0;;bo3;0;0;0;left buyzone;Agostinho CachaÃ§a;STEAM_1:1:511493195;TERRORIST;12/21/2021 - 19:34:50;;;;;;;;;;;;;
117;map_vetoing;0;0;;bo3;0;0;0;attacked;profeta;STEAM_1:1:61864068;TERRORIST;12/21/2021 - 19:34:50;STEAM_1:0:421866189;HRZ;CT;hkp2000;123.0;0.0;0.0;100.0;head;('8481', '-11470', '3154');('8624', '-12144', '3136');;
118;map_vetoing;0;0;;bo3;1;0;0;killed;profeta;STEAM_1:1:61864068;TERRORIST;12/21/2021 - 19:34:50;STEAM_1:0:421866189;HRZ;CT;usp_silencer;;;;;;('8481', '-11470', '3154');('8624', '-12144', '3200');;
119;map_vetoing;0;0;;bo3;0;0;0;left buyzone;Leoncio;STEAM_1:0:223654549;CT;12/21/2021 - 19:34:51;;;;;;;;;;;;;
120;map_vetoing;0;0;;bo3;0;0;0;attacked;GABIGORDO;STEAM_1:1:546304018;CT;12/21/2021 - 19:34:51;STEAM_1:1:149616265;VininÃ£o 60Hz;TERRORIST;m4a1;130.0;0.0;0.0;100.0;head;('1342', '-11880', '3154');('1520', '-11216', '3136');;
121;map_vetoing;0;0;;bo3;1;0;0;killed;GABIGORDO;STEAM_1:1:546304018;CT;12/21/2021 - 19:34:51;STEAM_1:1:149616265;VininÃ£o 60Hz;TERRORIST;m4a1_silencer;;;;;;('1342', '-11880', '3154');('1520', '-11216', '3200');;
